"Techstack","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
"Python, Pandas, NumPy","https://example.com/python-pandas-portfolio"
"R, ggplot2, dplyr","https://example.com/r-portfolio"
"SQL, Tableau, PowerBI","https://example.com/sql-tableau-portfolio"
"Python, Scikit-learn, Matplotlib","https://example.com/ml-python-sklearn-portfolio"
"SAS, SQL, Excel","https://example.com/sas-sql-portfolio"
"Python, NLTK, Spacy","https://example.com/nlp-python-portfolio"
"Python, TensorFlow, Keras","https://example.com/deep-learning-portfolio"
"Hadoop, Spark, Scala","https://example.com/big-data-portfolio"
"Python, Flask, Dash","https://example.com/data-dashboard-portfolio"
"Python, Jupyter Notebook, Seaborn","https://example.com/data-analysis-portfolio"
"R, Shiny, RMarkdown","https://example.com/r-shiny-portfolio"
"Python, Plotly, Bokeh","https://example.com/python-plotly-portfolio"
"Excel, VBA, SQL Server","https://example.com/excel-vba-portfolio"
"Power BI, DAX, Power Query","https://example.com/powerbi-portfolio"
"Alteryx, Tableau, SQL","https://example.com/alteryx-portfolio"
"Python, Airflow, Docker","https://example.com/data-pipeline-portfolio"
"Apache Kafka, Spark, Java","https://example.com/realtime-processing-portfolio"
"Python, BeautifulSoup, Scrapy","https://example.com/web-scraping-portfolio"
"Azure, Databricks, PySpark","https://example.com/azure-data-engineering-portfolio"
"AWS, Redshift, Glue","https://example.com/aws-data-engineering-portfolio"
